txLoss : 0.0 , txDelay : 815.0 , txJitter : 47.0 , rxLoss : 0.0 , rxDelay : 798.0 , rxJitter : 37.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 469.0 , txJitter : 44.0 , rxLoss : 0.0 , rxDelay : 460.0 , rxJitter : 35.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 911.0 , txJitter : 125.0 , rxLoss : 0.0 , rxDelay : 845.0 , rxJitter : 14.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 932.0 , txJitter : 120.0 , rxLoss : 0.0 , rxDelay : 869.0 , rxJitter : 17.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 504.0 , txJitter : 124.0 , rxLoss : 0.0 , rxDelay : 429.0 , rxJitter : 14.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 603.0 , txJitter : 100.0 , rxLoss : 0.0 , rxDelay : 551.0 , rxJitter : 15.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 890.0 , txJitter : 78.0 , rxLoss : 0.0 , rxDelay : 847.0 , rxJitter : 12.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 564.0 , txJitter : 84.0 , rxLoss : 0.0 , rxDelay : 523.0 , rxJitter : 13.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 860.0 , txJitter : 94.0 , rxLoss : 0.0 , rxDelay : 812.0 , rxJitter : 14.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 500.0 , txJitter : 71.0 , rxLoss : 0.0 , rxDelay : 472.0 , rxJitter : 11.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 816.0 , txJitter : 38.0 , rxLoss : 0.0 , rxDelay : 816.0 , rxJitter : 38.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 456.0 , txJitter : 27.0 , rxLoss : 0.0 , rxDelay : 456.0 , rxJitter : 27.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 883.0 , txJitter : 102.0 , rxLoss : 0.0 , rxDelay : 832.0 , rxJitter : 16.0 , throughput : 0.0/HIT2
